ID,Longitude,Latitude,WAs,WP,WFe,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,SpH,SEc,SOC,SP,Sand,Silt,Clay,Elevation,Year_Irrigation,Distance_STW,Land_type,Land_type_ID
172,89.138,22.7629,0.178,1,4.31,1.005,7.05,27.4,52,110.9,5.3,1.122,23.5,4.404,10.54,2470,8.25,0.97,1.5,5.46,13,27.5,59.5,2,2,10,MHL,2
173,89.1339,22.7622,0.052,0.92,4.4,1.539,7.03,37.8,159.4,133.7,6.1,2.771,16.2,3.078,6.45,3290,8.27,0.961,1.27,5.03,8.3,29.2,62.5,4,4,10,MHL,2
174,89.1345,22.7536,0.122,0.99,4.37,1.152,7.07,37.7,97.7,112.4,6.4,1.411,24.2,7.446,12.67,1790,8.47,1.147,1.54,10.01,8.3,23,68.7,4,12,10,MHL,2
175,89.1389,22.7484,0.119,0.43,5.32,1.418,7.13,43.2,111,168.8,5.2,1.416,24.2,7.953,16.15,3840,8.07,1.268,1.68,18.13,5.8,37.5,56.7,2,8,5,MHL,2
176,89.243,22.8105,0.032,0.31,2.34,0.59,7.16,16.4,8.2,81.6,2.8,1.855,4.8,0.779,2.42,1980,8.14,0.467,0.55,4.38,27.9,49.2,22.9,6,5,15,HL,1
177,89.2469,22.8069,0.112,1.25,4.63,0.748,6.97,24.2,58,98.2,5,0.797,5.5,1.511,4.24,2020,8.32,0.447,0.78,27.13,12.8,45.5,41.7,7,1,10,HL,1
178,89.2487,22.8046,0.095,1.21,2.89,0.531,7.16,18.8,17,79.2,3.8,0.836,9.6,2.586,6.41,3240,8.16,0.447,0.78,13.58,17.5,43.8,38.7,4,5,10,HL,1
179,89.1258,22.7626,0.118,1.03,5.15,1.041,7,38.7,47,124.8,4.7,1.322,31.6,8.626,14.36,1370,8.23,0.889,1.83,13.48,8.8,22.5,68.7,2,8,10,MHL,2
180,89.1252,22.7601,0.099,0.97,4.41,1.076,7.22,42.8,85.6,121,6.2,3.766,26.3,4.652,11.56,2010,8.34,0.951,1.68,9.14,6.6,25.5,67.9,2,5,6,MHL,2
181,89.1137,22.7571,0.121,1.17,10.71,0.9,6.92,37.9,37,150.7,6,1.35,16.7,4.907,10.73,2340,8.17,1.059,1.35,22.68,9.1,55.5,35.4,6,3,10,MHL,2
182,89.111,22.7567,0.097,1.45,10.7,2.03,6.9,46.5,237.6,188.5,6.1,4.258,33.2,6.913,18.22,3930,8.03,1.095,0.98,25.72,9.6,25,65.4,4,9,15,MHL,2
183,89.109,22.7591,0.115,1.12,8.65,0.891,6.94,32.9,35,125.4,4,1.14,19.1,3.071,8.18,3460,8.17,1.017,1.48,4.7,10.7,38.4,50.9,4,4,10,MHL,2
184,89.0985,22.7801,0.099,1.05,7.87,0.844,6.92,22.9,48.7,117.6,4,1.176,22.6,6.653,15.94,3220,8.23,0.756,1.35,17.05,13.7,17.5,68.8,3,11,5,MHL,2
185,89.1168,22.7529,0.105,1.04,5.17,1.016,7.04,39.9,39,124,6.2,1.109,24.2,4.084,8.99,1210,8.42,1.148,0.92,6.43,7.8,28.8,63.4,4,6,5,MHL,2
186,89.1256,22.7534,0.103,1.12,7.24,1.124,6.98,42.9,66,137,6.1,5.306,25.8,5.664,11,2030,8.31,1.175,1.68,27.67,12.1,19.2,68.7,4,8,10,MHL,2
187,89.1253,22.7502,0.062,1.07,3.88,2.83,6.97,66.8,405,182.1,7.9,11.296,19.8,3.773,9.09,2670,8.36,1.284,1.31,14.56,9.5,28,62.5,5,8,10,MHL,2
188,89.1295,22.7422,0.13,1.22,7.52,0.851,7,32.6,65,122,4.2,1.157,19.7,5.172,10.92,3190,7.95,1.274,1.87,9.03,10,35,55,2,9,15,MHL,2
189,89.115,22.7917,0.171,1.64,7.01,0.874,6.96,31.2,53.5,114.3,4.7,0.939,19.4,4.845,10.93,1170,8.29,0.614,0.92,12.39,25,42.5,32.5,6,7,20,HL,1
190,89.1108,22.7967,0.142,1.3,7.69,0.933,6.93,31,62.9,130.3,5,1.08,18.7,4.069,13.33,1830,8.39,0.62,1.09,19.87,7.5,51.3,41.2,5,2,20,HL,1
191,89.1203,22.8143,0.074,0.69,8.68,1.116,6.9,35.6,54,136.3,5.2,2.71,17,3.261,9.42,3820,8.07,0.798,1.4,5.46,12.5,25.4,62.1,4,8,10,HL,1
192,89.1088,22.8219,0.094,0.78,4.63,0.803,6.9,26,42.2,107.8,5.3,0.97,12.8,3.587,9.13,2910,8.3,0.67,0.88,11.09,12.5,25.4,62.1,5,6,20,HL,1
193,89.1156,22.8246,0.121,1.4,8.92,0.843,6.97,27.5,48.5,110.4,4.5,0.936,18.1,3.588,10.17,2590,8.3,0.753,1.23,6.22,12.5,36.3,51.2,9,4,25,HL,1
194,89.1188,22.8203,0.145,1.03,8.02,1.051,6.97,34.5,40,145.8,5.1,1.195,22,6.672,17.4,1340,8.34,0.79,1.42,9.9,12.5,28.8,58.7,5,6,20,HL,1
195,89.1299,22.805,0.074,1.06,5.28,0.543,7.05,19.2,26,80.1,3.4,0.697,12,1.756,6.05,1460,8.32,0.849,0.92,6.54,14.6,46.7,38.7,7,3,10,HL,1
196,89.1504,22.8154,0.458,1.3,9.78,0.817,7.22,23.8,70,117.8,4.3,0.955,17.3,3.469,11.29,3290,8.35,1.555,0.9,5.57,12.1,51.7,36.2,6,8,10,HL,1
197,89.1477,22.7767,0.206,1.5,9.07,2.06,6.92,42.1,242.4,116.6,10.3,1.126,13.6,2.566,5.65,2510,8.42,1.068,1.11,7.08,14.6,46.7,38.7,3,9,5,MHL,2
198,89.1809,22.7785,0.227,0.95,3.21,2.07,7.23,47.3,220,95.3,9.7,0.812,5.9,1.772,3.13,1450,8.62,1.362,0.78,6.22,21.3,62.5,16.2,7,4,10,HL,1
199,89.1857,22.7876,0.207,1.19,2.84,1.54,7.23,34.5,159.5,86.5,8.9,0.783,9.3,1.827,4.38,2270,8.65,1.109,0.88,3.08,27.8,47.5,24.7,4,2,20,HL,1
200,89.1856,22.7921,0.191,1.3,3.34,1.342,7.18,35.1,80,87.8,8.1,0.757,11.7,2.521,4.62,3600,8.7,1.054,0.9,9.03,15.8,61.7,22.5,4,1,15,HL,1
201,89.1993,22.7949,0.183,1.27,3.47,1.083,7.19,30.4,146,89.7,6.3,0.787,17.2,4.351,9.99,1930,8.67,0.825,0.96,23.77,13.3,50.5,36.2,4,15,10,HL,1
202,89.2476,22.7234,0.173,1.86,4.22,0.806,6.97,33.4,42.6,78.4,6.5,0.659,15.5,5.934,9.88,3290,8.13,1.225,1.27,14.02,15.8,34.2,50,5,6,30,MHL,2
203,89.2549,22.7153,0.154,1.33,2.6,0.741,7.07,31.1,30,82.6,4.7,0.667,20.9,4.845,11.98,1540,8.45,1.03,1.19,9.14,9.9,35.9,54.2,4,10,12,MHL,2
204,89.2553,22.7113,0.233,1.06,2.89,0.776,7.18,32.1,18,87,5.3,0.699,26.9,7.177,13.44,2610,8.52,1.096,1.4,8.82,8.7,48,43.3,4,5,10,MHL,2
205,89.2497,22.714,0.361,1.51,7.6,0.976,7.08,34.7,37,95.6,7.7,0.803,51.8,14.804,26.11,2150,8.43,1.172,1.66,14.45,11.2,40.5,48.3,4,19,10,MHL,2
206,89.2658,22.6545,0.332,2.08,6.73,2.8,7.03,75,360.2,140.1,14.3,1.266,15.2,1.26,3.04,2920,8.51,1.783,0.55,2.43,12.4,63.4,24.2,3,6,10,MHL,2
207,89.275,22.6482,0.175,1.55,3.58,1.35,7.15,51.7,100,98.9,7.7,0.808,18,4.365,8.05,3290,8.46,1.097,1.07,11.13,10.4,39.2,50.4,2,3,10,MHL,2
208,89.279,22.6473,0.094,1.31,4.65,0.722,7.02,25.7,29.3,107.5,4.3,0.846,5.7,1.03,3.1,3050,7.92,0.925,1.46,37.17,8.5,34.8,56.7,8,6,30,MHL,2
209,89.2439,22.6606,0.245,1.04,4.63,3.15,7.16,76,416,138.7,14.3,1.134,16.8,3.726,10.45,4010,8.33,2.458,1.03,13.73,8.6,51.8,39.6,5,3,15,MHL,2
