SEASON,ENV,SOWING,GEN,N_RATE,DATE_SOW,Optimum_date,DAYS, GY ,STY,Maturity_days,Weeding,Weeding_No,Irrigation,Irrigation_No,FARMER
Rabi 12-13,UJIRPUR,EARLY,BG 27,133,12/10/2012,12/15/2012,-5,4.336,4.4608,104,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 25,133,12/10/2012,12/15/2012,-5,4.251,3.440666667,104,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 21,133,12/10/2012,12/15/2012,-5,3.681,3.179,105,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 27,0,12/10/2012,12/15/2012,-5,0.952,1.2308,105,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 25,0,12/10/2012,12/15/2012,-5,1.354,1.459466667,103,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 21,0,12/10/2012,12/15/2012,-5,1.007,1.2478,104,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 27,100,12/10/2012,12/15/2012,-5,4.061,3.496666667,104,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 21,100,12/10/2012,12/15/2012,-5,3.819,3.27,105,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 27,133,12/10/2012,12/15/2012,-5,3.45,2.8866,104,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 25,133,12/10/2012,12/15/2012,-5,3.835,3.128,104,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 21,133,12/10/2012,12/15/2012,-5,3.516,3.0974,105,1,1 weeding,1,1 irrigation,81
Rabi 12-13,UJIRPUR,EARLY,BG 27,0,12/5/2012,12/15/2012,-10,0.902,1.0098,109,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 25,0,12/5/2012,12/15/2012,-10,1.112,1.0885,107,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 21,0,12/5/2012,12/15/2012,-10,1.593,1.008766667,108,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 27,100,12/5/2012,12/15/2012,-10,3.962,3.3524,107,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 25,100,12/5/2012,12/15/2012,-10,4.88,4.312,108,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 21,100,12/5/2012,12/15/2012,-10,4.941,2.9036,108,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 27,133,12/5/2012,12/15/2012,-10,5.194,4.383433333,107,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 25,133,12/5/2012,12/15/2012,-10,4.462,3.647,107,1,1 weeding,1,1 irrigation,80
Rabi 12-13,UJIRPUR,EARLY,BG 21,133,12/5/2012,12/15/2012,-10,4.914,3.4,108,1,1 weeding,1,1 irrigation,80
Rabi 12-13,FULTALA,LATE,BG 27,0,1/3/2013,12/15/2012,19,0.88,1.281,90,0,No weeding,1,1 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 25,0,1/3/2013,12/15/2012,19,1.046,1.343333333,88,0,No weeding,1,1 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 21,0,1/3/2013,12/15/2012,19,0.963,1.28,89,0,No weeding,1,1 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 27,67,1/3/2013,12/15/2012,19,2.251,3.1616,91,0,No weeding,3,3 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 25,67,1/3/2013,12/15/2012,19,2.603,2.9442,92,0,No weeding,3,3 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 21,67,1/3/2013,12/15/2012,19,2.548,3.1374,92,0,No weeding,3,3 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 27,100,1/3/2013,12/15/2012,19,2.119,2.965333333,91,0,No weeding,3,3 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 25,100,1/3/2013,12/15/2012,19,2.614,3.553333333,91,0,No weeding,3,3 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 21,100,1/3/2013,12/15/2012,19,2.426,3.7136,92,0,No weeding,3,3 irrigation,79
Rabi 12-13,FULTALA,LATE,BG 27,0,12/30/2012,12/15/2012,15,0.82,1.239333333,91,0,No weeding,1,1 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 25,0,12/30/2012,12/15/2012,15,1.376,1.847466667,89,0,No weeding,1,1 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 21,0,12/30/2012,12/15/2012,15,1.579,2.439666667,90,0,No weeding,1,1 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 27,67,12/30/2012,12/15/2012,15,2.927,4.5694,92,0,No weeding,3,3 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 25,67,12/30/2012,12/15/2012,15,3.301,3.5904,93,0,No weeding,3,3 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 21,67,12/30/2012,12/15/2012,15,3.241,5.230333333,93,0,No weeding,3,3 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 27,100,12/30/2012,12/15/2012,15,3.026,1.429333333,92,0,No weeding,3,3 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 25,100,12/30/2012,12/15/2012,15,3.785,4.428666667,92,0,No weeding,3,3 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 21,100,12/30/2012,12/15/2012,15,3.274,3.654,93,0,No weeding,3,3 irrigation,78
Rabi 12-13,FULTALA,LATE,BG 27,0,12/24/2012,12/15/2012,9,1.651,2.005333333,98,0,No weeding,1,1 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 25,0,12/24/2012,12/15/2012,9,2.036,2.394166667,96,0,No weeding,1,1 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 21,0,12/24/2012,12/15/2012,9,2.163,2.7384,97,0,No weeding,1,1 irrigation,77
