ID,A_LabID,SiteID,StateID,Longitude,Latitude,Landcover,Tota_C,Organic_C,BD,Clay,Sand,pH
145,C-339502,409,ND,-98.9938,48.6129,Planted/Cultivated,2.36,2.20,1257.23,28.34,38.30,77.51
146,C-313215,411,UT,-109.3083,37.7849,Shrubland,1.37,1.37,1363.33,23.12,49.25,76.21
147,C-350694,412,VA,-78.5204,37.289,Forested Upland,4.00,4.00,1325.70,35.11,27.33,52.57
148,C-355881,415,CA,-119.666,38.674,Herbaceous Upland,0.60,0.60,1241.68,14.72,55.25,62.00
149,C-326183,416,FL,-83.339,30.1305,Planted/Cultivated,1.12,1.12,1500.66,3.40,85.16,49.60
150,C-310039,427,KS,-100.9129,38.4401,Planted/Cultivated,4.56,4.30,1391.33,34.19,15.80,78.56
151,C-350373,428,KY,-84.4647,38.9202,Forested Upland,5.11,5.11,1440.37,29.45,18.84,55.90
152,C-337088,430,MT,-111.4801,47.2513,Herbaceous Upland,1.94,1.94,1415.33,34.90,30.37,73.00
153,C-343403,431,AZ,-114.046,36.0545,Shrubland,0.67,0.30,1420.09,11.19,58.46,83.42
154,C-358472,439,CA,-117.6508,33.501,Planted/Cultivated,0.30,0.30,1400.09,16.94,56.27,71.91
155,C-357272,440,TX,-99.349,31.837,Planted/Cultivated,2.73,2.30,1417.72,42.10,19.60,74.19
156,C-318485,443,WY,-109.1815,44.0302,Forested Upland,3.99,3.99,1263.09,14.00,53.40,59.02
157,C-320882,444,MD,-76.829,39.3912,Forested Upland,3.97,3.97,1408.97,20.99,34.06,52.18
158,C-337915,446,MT,-105.0248,45.9145,Shrubland,1.83,1.83,1391.11,34.50,24.90,77.00
159,C-357273,452,TX,-100.4732,28.8005,Planted/Cultivated,3.46,1.80,1341.19,34.08,29.96,76.09
160,C-338664,456,SD,-99.5879,43.3563,Planted/Cultivated,4.44,4.00,1378.97,47.80,22.98,74.94
161,C-340767,459,SD,-101.1025,43.8842,Herbaceous Upland,2.42,2.42,1330.87,51.58,9.02,76.00
162,C-314127,460,LA,-90.3561,30.9632,Developed,3.20,3.20,1491.82,20.38,27.33,51.39
163,C-334781,462,ID,-113.9724,44.8115,Shrubland,1.62,1.62,1154.68,18.24,40.12,79.88
164,C-355882,463,CA,-117.657,36.634,Barren,0.46,0.20,1461.68,13.82,60.26,88.00
165,C-328016,464,GA,-84.5927,33.6933,Developed,1.71,1.71,1428.26,30.14,35.90,51.49
166,C-351800,468,AZ,-110.9655,33.9395,Forested Upland,4.33,4.33,1383.80,40.73,31.29,61.73
167,C-310053,472,KS,-97.3539,38.8897,Developed,2.69,2.60,1376.75,28.51,15.75,69.00
168,C-319687,475,CO,-105.9953,38.1181,Shrubland,0.38,0.38,1330.87,15.00,67.38,79.48
169,C-350695,476,VA,-81.289,36.7516,Forested Upland,10.90,10.90,1250.82,13.14,42.90,46.20
170,C-353193,479,OR,-120.6909,42.6188,Forested Upland,0.99,0.80,1162.74,10.80,57.60,59.67
171,C-328693,480,FL,-82.3023,28.5508,Planted/Cultivated,1.72,1.72,1405.81,12.00,80.82,52.34
172,C-311323,488,MO,-92.6408,40.1195,Planted/Cultivated,1.94,1.94,1400.88,32.24,30.61,56.29
173,C-319523,491,CO,-103.8946,38.3101,Herbaceous Upland,0.52,0.52,1449.36,28.73,47.90,81.48
174,C-348826,492,IL,-87.6186,39.4624,Planted/Cultivated,0.94,0.94,1496.34,23.75,8.31,59.00
175,C-337089,494,MT,-112.8237,46.0301,Herbaceous Upland,3.88,3.88,1299.58,18.00,52.57,72.00
176,C-324001,495,NM,-104.843,32.7399,Shrubland,2.91,1.80,1326.68,25.62,33.27,79.01
177,C-355884,503,CA,-114.52,34.371,Barren,1.54,0.70,1425.45,11.35,67.92,84.00
178,C-327825,504,OK,-96.8901,34.1512,Planted/Cultivated,1.50,1.50,1431.06,25.13,38.94,60.00
179,C-353194,506,OR,-124.4019,42.825,Forested Upland,2.76,2.76,1004.31,33.63,29.88,50.00
180,C-319575,507,CO,-108.5856,40.3002,Shrubland,1.26,1.26,1317.16,21.42,37.77,80.06
181,C-341217,508,PA,-74.9908,41.4739,Forested Upland,14.00,14.00,1432.93,10.28,43.50,52.57
182,C-312421,520,AR,-93.373,36.3098,Herbaceous Upland,1.28,1.28,1415.95,20.13,22.32,58.09
183,C-351801,523,AZ,-111.5432,31.8178,Shrubland,0.92,0.80,1258.49,38.75,40.24,70.09
184,C-312871,524,AR,-90.859,34.5545,Developed,1.88,1.88,1485.01,21.00,5.33,56.91
185,C-346646,526,OR,-118.3382,43.6723,Herbaceous Upland,0.57,0.57,1204.50,38.94,19.89,75.00
186,C-334782,527,ID,-115.9127,42.4968,Shrubland,1.67,1.67,1289.08,24.00,42.54,74.00
187,C-351214,528,IN,-85.1391,40.8654,Planted/Cultivated,4.01,2.80,1550.38,44.25,13.59,66.26
188,C-351802,532,AZ,-110.2759,32.6656,Shrubland,1.57,1.57,1314.15,25.27,48.95,69.08
189,C-348950,536,IA,-95.9683,41.6022,Planted/Cultivated,2.28,2.28,1317.23,40.20,11.14,71.88
190,C-306815,539,NE,-101.7211,41.0378,Planted/Cultivated,0.98,0.98,1398.14,23.98,37.93,69.01
191,C-357274,540,TX,-97.3012,28.3619,Planted/Cultivated,0.89,0.89,1423.06,25.66,59.03,68.03
192,C-355885,543,CA,-120.571,36.23,Planted/Cultivated,3.76,3.76,1388.03,31.36,35.16,67.91
193,C-328153,544,GA,-84.7292,31.8844,Planted/Cultivated,0.25,0.20,1535.54,22.24,64.92,51.42
194,C-326449,552,OK,-97.2839,35.6937,Planted/Cultivated,0.49,0.30,1438.22,17.20,62.67,60.32
195,C-326192,555,NM,-106.5796,36.9216,Herbaceous Upland,2.14,2.14,1238.59,28.62,28.80,68.61
196,C-328454,556,SC,-82.2593,35.1239,Forested Upland,4.97,4.97,1462.67,38.78,42.84,54.05
197,C-337916,558,MT,-107.6937,45.4173,Herbaceous Upland,2.80,2.80,1371.16,36.26,16.93,74.70
198,C-355886,559,CA,-117.052,35.203,Herbaceous Upland,0.32,0.32,1439.90,14.37,75.00,81.21
199,C-355083,565,WI,-92.556,45.2339,Planted/Cultivated,1.73,1.73,1450.59,12.13,50.59,56.65
200,C-357275,568,TX,-94.2698,30.0043,Planted/Cultivated,2.12,2.12,1420.36,54.59,10.99,56.20
201,C-313409,571,UT,-112.2872,39.7637,Herbaceous Upland,2.26,0.70,1326.82,25.00,35.57,82.87
202,C-341218,572,PA,-80.4467,41.542,Forested Upland,1.53,1.53,1503.36,16.97,29.32,51.62
203,C-337917,574,MT,-106.5207,47.6487,Shrubland,4.63,4.50,1366.13,33.96,15.28,79.00
204,C-357276,575,TX,-100.3527,32.9876,Planted/Cultivated,0.84,0.20,1447.26,23.05,45.18,78.19
205,C-311288,584,MO,-89.9307,37.4271,Planted/Cultivated,1.14,1.14,1422.12,24.49,8.00,55.08
206,C-314029,588,LA,-92.6468,32.586,Planted/Cultivated,1.22,1.00,1524.84,21.18,42.94,50.73
207,C-334783,590,ID,-116.0632,47.4853,Forested Upland,8.24,8.24,1053.87,6.66,34.18,58.21
208,C-320367,591,NV,-116.6039,39.1022,Planted/Cultivated,0.45,0.45,1263.22,15.70,48.27,82.38
209,C-327692,596,NM,-107.2805,31.8182,Shrubland,0.25,0.25,1421.42,32.91,61.88,82.00
210,C-301038,600,NE,-98.8833,41.0917,Planted/Cultivated,1.53,1.53,1357.97,28.92,16.65,69.10
211,C-319948,603,WY,-106.0807,41.2399,Shrubland,7.40,1.20,1248.15,25.00,39.57,75.89
212,C-357277,604,TX,-96.6131,30.6142,Forested Upland,1.67,1.67,1500.11,22.81,62.67,58.44
213,C-355887,607,CA,-121.7548,38.9538,Planted/Cultivated,1.86,1.86,1327.58,44.96,7.82,70.06
214,C-328455,608,SC,-81.0705,32.7862,Planted/Cultivated,0.62,0.62,1577.16,20.27,71.66,49.36
215,C-349849,616,IA,-91.7681,42.865,Forested Upland,3.90,3.40,1432.84,20.39,9.05,57.63
216,C-299993,617,MA,-71.3255,42.0975,Forested Upland,15.20,15.20,1349.58,3.02,71.09,49.01
217,C-342356,619,TX,-101.8247,36.4,Herbaceous Upland,1.47,1.30,1399.99,33.54,22.79,76.74
218,C-353739,620,TN,-85.3402,35.6002,Forested Upland,34.90,34.90,1380.48,22.40,39.87,48.43
219,C-337090,622,MT,-109.4101,48.4376,Planted/Cultivated,0.88,0.88,1382.49,34.98,20.53,73.85
220,C-320353,623,NV,-116.917,38.6908,Shrubland,1.13,1.13,1252.41,26.12,38.15,73.10
221,C-355085,629,WI,-88.373,45.1196,Forested Upland,1.75,1.75,1270.38,3.89,79.75,54.32
222,C-337069,632,OK,-99.5081,34.6385,Planted/Cultivated,1.15,1.15,1520.86,32.00,22.42,74.87
223,C-300051,633,ME,-68.4785,46.8426,Forested Upland,3.80,3.80,1149.49,15.24,44.75,52.12
224,C-334784,635,ID,-111.6711,42.2106,Forested Upland,2.75,2.75,1156.47,20.26,26.26,66.21
225,C-349937,636,OH,-81.2993,40.9034,Herbaceous Upland,2.53,2.30,1432.72,21.23,30.82,56.18
226,C-340768,638,SD,-100.2865,45.0654,Planted/Cultivated,1.61,1.61,1379.13,29.92,39.19,72.69
227,C-342933,639,TX,-101.4357,34.7963,Herbaceous Upland,1.49,0.90,1387.68,29.31,34.19,76.87
228,C-357278,644,TX,-102.6688,30.6378,Herbaceous Upland,5.88,1.30,1288.75,30.03,33.73,78.80
229,C-311249,648,MO,-92.9008,38.1171,Forested Upland,3.28,3.28,1393.28,26.45,17.33,55.57
230,C-323339,651,SD,-102.0905,44.2976,Herbaceous Upland,2.54,2.54,1316.11,44.32,17.13,77.42
231,C-312414,652,AR,-94.0501,33.8135,Herbaceous Upland,4.66,4.66,1472.16,39.69,20.76,54.24
232,C-354162,654,WA,-118.2267,46.6636,Herbaceous Upland,0.63,0.63,1211.01,14.94,28.97,72.99
233,C-334785,655,ID,-113.0121,43.18,Shrubland,1.14,1.14,1400.09,22.47,30.95,80.00
234,C-329034,656,AL,-86.9976,33.0992,Forested Upland,1.14,1.14,1405.90,26.32,40.93,49.02
235,C-327715,660,NM,-107.0008,32.9031,Shrubland,2.55,0.90,1344.43,33.70,41.61,82.00
236,C-310137,664,KS,-95.7368,37.9519,Planted/Cultivated,3.84,3.50,1349.64,41.85,11.22,64.06
237,C-338332,665,MN,-96.2534,45.8397,Planted/Cultivated,2.33,2.33,1329.22,29.00,31.36,75.54
238,C-313252,667,UT,-109.9643,38.9385,Barren,2.73,0.90,1254.79,29.91,32.24,85.77
239,C-350894,668,NC,-78.2646,35.9424,Forested Upland,4.44,4.44,1540.66,24.32,47.42,51.94
240,C-320475,671,NV,-119.495,40.3064,Shrubland,1.32,1.32,1388.02,32.87,42.28,80.00
241,C-328017,672,GA,-82.8522,30.823,Planted/Cultivated,2.33,2.20,1497.76,4.95,79.89,49.61
242,C-300415,673,NY,-75.4808,43.6094,Forested Upland,7.68,7.68,1071.06,7.62,40.02,48.75
243,C-348593,680,IL,-89.3168,40.3111,Planted/Cultivated,2.50,2.50,1440.29,33.00,5.04,58.27
244,C-319582,683,CO,-103.0238,38.0952,Herbaceous Upland,1.13,0.90,1330.87,30.32,31.54,79.55
245,C-349938,684,OH,-83.1691,38.7885,Forested Upland,12.80,12.80,1335.61,22.96,22.45,49.20
