A_LabID,SiteID,StateID,Latitude,Longitude,Landcover,Developed,Agriculture,As,Cd,Cr,Pb,Se,Zn,Fe,Mn
C-354220,9466,MT,46.2662,-113.7681,Forested,No,No,13.8,0.1,21,10.1,0.1,27,2.09,993
C-354221,9502,WY,44.7217,-106.3174,Herbaceous ,No,Yes,13.8,0.4,46,22.4,0.9,86,2.81,336
C-354219,9438,ID,44.0607,-112.9846,Forested,No,No,13.8,0.9,76,20,0.2,138,2.16,421
C-354217,8890,AR,34.3229,-91.7893,Planted/Cultivated,No,Yes,13.7,0.2,32,22.1,0.3,52,1.78,779
C-354218,9358,OH,40.1668,-82.5646,Planted/Cultivated,No,Yes,13.7,0.3,34,32.6,0.5,109,2.55,313
C-354283,8990,LA,32.7945,-91.2951,Forested,No,No,13.7,0.8,78,31.4,1.1,134,4.22,1130
C-354279,8494,CA,33.65,-117.6009,Planted/Cultivated,No,Yes,13.6,0.8,24,28.4,0.9,167,3.07,427
C-354280,8590,NV,39.9704,-118.0884,Shrubland,No,No,13.6,0.3,31,19.5,0.2,87,4.17,669
C-354281,8782,OH,40.9034,-81.2993,Herbaceous ,No,Yes,13.6,0.2,41,28.7,0.5,90,2.87,628
C-354282,8846,OH,38.5523,-82.5565,Planted/Cultivated,No,Yes,13.6,0.3,54,29.9,0.6,95,4.13,1730
C-354277,8122,ME,45.4261,-68.4607,Planted/Cultivated,No,Yes,13.5,0.3,45,30.4,0.3,85,2.26,469
C-354278,8334,OH,41.2919,-81.8018,Developed,Yes,No,13.5,0.2,47,36.3,0.8,84,3.7,1190
C-354266,7214,CO,38.0546,-107.6892,Forested,No,No,13.4,1.5,14,188,0.1,354,4.5,1950
C-354275,7902,TX,31.7228,-99.942,Planted/Cultivated,No,Yes,13.4,0.1,22,12.3,0.1,33,1.33,175
C-354276,8014,WA,48.3869,-120.181,Shrubland,No,No,13.4,0.3,25,8.8,0.3,140,3.97,997
C-354274,7866,TX,32.5102,-97.3185,Planted/Cultivated,No,Yes,13.4,0.1,29,20.2,0.4,46,4.48,826
C-354272,7822,TX,35.3988,-102.0883,Herbaceous ,No,Yes,13.4,0.2,31,14.9,0.1,47,3.84,679
C-354267,7310,CO,37.6598,-108.4002,Shrubland,No,No,13.4,0.6,33,21.2,0.6,71,2.24,421
C-354268,7454,MT,45.5265,-110.6906,Herbaceous ,No,Yes,13.4,0.2,33,19.8,0.2,57,2.16,395
C-354271,7610,PA,41.4697,-75.3999,Herbaceous ,No,Yes,13.4,0.3,40,43.3,0.5,139,3.3,2420
C-354269,7502,MT,47.0572,-109.5058,Planted/Cultivated,No,Yes,13.4,0.5,42,16.6,0.3,78,2.24,476
C-354270,7566,NV,39.6151,-117.7163,Shrubland,No,No,13.4,0.2,44,13.7,0.1,61,2.44,393
C-354265,6942,CA,40.7998,-122.3165,Forested,No,No,13.4,0.4,78,36.2,1,271,5.99,1570
C-354258,6446,AZ,34.2702,-112.6503,Shrubland,No,No,13.3,0.2,21,16.7,0.1,122,9.32,1190
C-354261,6586,NV,36.3349,-114.4927,Shrubland,No,No,13.3,0.2,27,14.9,0.1,49,1.83,401
C-354259,6478,MT,47.0184,-105.5888,Herbaceous ,No,Yes,13.3,0.3,33,16.1,0.4,56,2.18,515
