A_LabID,SiteID,StateID,Latitude,Longitude,LandCover,Al,As,Ba,Cd,Ce,Co,Cr,Cs,Cu,Fe,Hg,Li,Mg,Mn,Mo,Ni,Pb,Rb,Sb,Se,Sn,Zn
C-358604,9327,CA,34.7477,-115.687,Barren,7.61,1.1,982,0.05,59.6,3.6,7,2.5,48.8,1.74,0.01,16,0.33,275,0.28,4.3,44.4,97.8,0.2,0.1,1.3,88
C-348943,9496,IA,42.7214,-96.3718,Planted/Cultivated,6.04,9.3,804,0.5,62.5,12.7,52,2.5,20,2.6,0.03,25,0.55,1040,1.13,26.6,19.8,75.7,1,0.7,1.3,88
C-348948,2136,IA,42.3839,-95.3421,Planted/Cultivated,6.22,8.6,727,0.4,60.4,13.3,50,2.5,21.4,2.72,0.04,26,0.6,1040,1.16,27,21.2,76.1,0.93,0.6,1.3,88
C-348974,6168,IA,43.0131,-94.4244,Planted/Cultivated,5.46,7.7,630,0.3,47.9,10.9,45,2.5,22.4,2.27,0.04,22,0.53,916,0.92,19.8,21.5,71.1,0.62,0.6,1.3,88
C-335512,2286,MT,46.5195,-111.8562,Herbaceous Upland,7.07,35.6,956,1.1,60.9,15.3,50,5,39.9,3.92,0.08,25,1.36,901,0.94,19.7,38.7,106,1.56,0.3,1.3,88
C-337559,7342,MT,48.6672,-112.0643,Planted/Cultivated,6.37,9.1,712,0.4,58.4,9.7,45,5,23.9,2.45,0.03,33,1.1,389,0.86,25.3,17.3,91.2,0.73,0.3,1.3,88
C-300407,10081,NY,42.855,-77.1151,Planted/Cultivated,4.19,5.4,374,0.4,47.5,7.3,24,2.5,16,2,0.06,30,0.51,773,1.05,14.2,19.5,60.7,0.31,0.3,1.2,88
C-358591,11615,CA,38.758,-121.495,Herbaceous Upland,6.14,2.3,443,0.05,29.6,10,57,2.5,50,2.04,0.03,8,0.51,411,0.43,19.4,17.2,32.5,0.52,0.1,1,88
C-355969,6175,CA,34.3802,-117.6953,Forested Upland,7.88,2.6,741,0.2,60.5,16.6,116,2.5,21.3,3.5,0.01,22,1.51,710,0.58,48.3,22.5,79.1,0.43,0.1,4.2,87
C-359166,10628,TX,29.6765,-103.1694,Herbaceous Upland,6.67,7.1,548,0.2,63.4,10.3,46,6,32.3,3.08,0.02,38,0.88,394,0.85,25.2,19.5,109,0.63,0.3,2.6,87
