FIPS,LBC_Rate
44005,37.4
44007,47.2
45001,50.7
45007,47
45021,53.9
45059,53.6
45073,46.2
45077,47.3
45083,48.5
45091,45.8
46007,42.47
46019,49.5
46033,28.4
46041,56.6
46047,34.2
46053,40.8
46055,44.75
46063,33.4
46071,48.27
46075,46.6
46081,31.4
46093,47.6
46095,51.81
46103,42.4
46121,57.92
46123,39.92
46137,35.83
47005,79.6
47015,45.5
47019,52.2
47021,74.9
47023,57.3
47027,52.1
47029,71.8
47031,52.6
47039,72.5
47041,66.9
47043,63.4
47049,84.1
47065,45.1
47071,64
47077,65.3
47083,71.2
47091,63.9
47109,68.8
47115,59.7
47125,55.9
47133,77.9
47137,77.3
47139,67.2
47141,62.3
47147,57.5
47155,57
47161,52
47165,50
47171,52.9
47175,51.75
47177,59.7
47185,63.1
48011,42.46
48017,28.94
48043,31.1
48065,40.3
48069,40.7
48107,49.1
48109,28.5
48111,44.6
48117,31.1
48129,87.8
48153,37.92
48169,42.34
48179,45.7
48189,35.1
48195,38.61
48205,27.63
48211,45.22
48219,37.5
48229,20.93
48233,52.2
48243,22.05
48279,25.8
48295,43.88
48299,37.9
48303,35
48305,37.17
48319,37.3
48341,40.9
48357,39.5
48359,39.38
48369,22.28
48375,44.3
48377,13.96
48381,30.9
48389,29
48393,43.4
48421,35.16
48437,46.9
48443,31.35
49001,37.38
49003,13.5
49005,12.7
49009,22.22
49011,16
49015,27.78
49017,21.67
49021,20.5
49023,22.48
49025,29.1
49027,21.3
49029,15.6
49033,15.22
49035,20.5
49037,21.29
49043,10.1
49045,20
49049,13.9
49051,20.9
49053,17.4
49055,22.02
49057,19.3
50001,30
50003,49.6
50005,43
50009,43.2
50011,61.5
50015,42.4
50017,46.5
50019,42.6
50021,48.4
50023,40.2
50025,36.7
50027,44.5
51003,32.9
51009,45.1
51013,22.6
51019,43.07
51027,54.2
51035,47.4
51037,44.9
51047,42.5
51051,67
51061,37.6
51063,36.3
51067,40.9
51077,43.8
51079,40.2
51083,47.8
51107,22.5
51111,47.9
51113,45.3
51117,52.5
51125,60.5
51147,56.3
51153,33
51157,43.6
51195,72.8
51540,42.5
51640,120.3
51680,53.1
51683,44.5
51685,37.31
51720,57.07
53001,29
53003,41.5
53005,36.4
53013,35.4
53017,30.1
53021,28.9
53023,35.2
53037,33
53039,41.5
53041,48.3
53043,30.6
53045,53.4
53071,31.7
53075,23.5
53077,42.2
54001,46.6
54007,43.9
54011,54.9
54013,31
54015,73.4
54017,58
54019,71.3
54021,45.1
54033,55.8
54035,60.9
54041,76.8
54043,75.8
54049,58.9
54053,51.4
54067,53
54073,64
54079,48.6
54081,56.6
54083,56.2
54085,50.3
54087,57
54091,57.3
54093,35.6
54095,57.9
54097,49.3
54099,53.4
54101,70.1
54105,61.9
54107,53.7
55001,61.3
55003,60.7
55005,41
55007,36.5
55009,36.9
55013,57.7
55015,24.9
55017,44
55019,36.2
55021,42.5
55031,52.9
55033,35
55035,41.5
55037,52.4
55041,38.8
55051,63
55053,42
55057,48.8
55059,49.3
55061,31
55063,38.1
55069,48
55071,39.1
55075,47.8
55077,48.6
55079,45
55081,48.5
55083,45.9
55085,51.9
55087,32.8
55089,31.8
55095,41.1
55099,43.8
55101,45.6
55107,52.9
55111,37.8
55113,48.2
55117,38.7
55119,39.8
55121,38.9
55125,35.2
55129,47.1
55137,46.9
55139,40.5
56031,32.7
56045,33.7
1015,57.3
1027,51.1
1029,51.2
1033,52
1037,46.3
1059,50.7
1071,61.2
1077,49.2
1079,62.8
1083,47
