ID,Land_type,Longitude,Latitude,x,y,As,P,Fe,Ec,pH,Mg,Na,Ca,K,S
83,MHL,89.1401,22.7418,2654827.4,554036.9,0.143,1.335,4.730,1.150,6.970,31.400,25.900,106.200,4.400,0.976
84,MHL,89.1425,22.749,2655075.4,554829.1,0.099,0.538,5.010,0.810,6.810,42.600,110.800,156.200,6.100,1.503
85,MHL,89.1478,22.7755,2655642.3,557759.9,0.082,1.603,7.120,0.640,7.010,20.300,15.400,84.500,3.100,0.706
86,MHL,89.1497,22.7764,2655840.852,557863.1258,0.124,1.360,6.880,0.790,6.990,30.100,36.600,101.300,4.500,0.904
87,MHL,89.1413,22.7812,2654977.1,558404.2,0.083,1.387,7.000,0.720,6.860,23.400,31.500,94.000,3.900,0.836
88,MHL,89.1449,22.7774,2655339.5,557973.3,0.106,0.763,5.230,0.880,6.880,22.700,61.400,105.500,4.100,0.919
89,HL,89.113,22.7941,2652076.7,559853.7,0.216,1.403,3.120,0.860,7.090,32.300,67.300,87.900,6.700,0.772
90,HL,89.1121,22.7992,2651995.5,560420.1,0.133,1.922,3.770,0.510,6.870,17.300,14.500,69.200,2.800,0.562
91,HL,89.1164,22.8134,2652440.071,561979.6623,0.118,1.200,6.230,0.830,6.800,30.200,26.000,110.000,4.600,0.877
92,HL,89.1238,22.8112,2653197.426,561734.5001,0.031,0.998,5.860,0.650,6.800,19.600,16.300,76.500,4.400,0.661
93,HL,89.1262,22.8062,2653440.071,561179.6623,0.021,0.582,3.130,0.480,6.940,18.100,7.600,70.100,4.700,0.575
94,HL,89.1251,22.8158,2653338,562248.1,0.059,0.758,6.760,1.060,6.800,40.000,46.500,134.900,5.000,4.668
95,HL,89.1219,22.8229,2653015.4,563031.7,0.179,0.786,5.350,1.530,6.950,45.600,163.700,144.600,8.700,1.200
96,MHL,89.1722,22.6779,2658083.7,546930.7,0.095,0.798,6.530,2.210,6.890,53.900,289.600,179.500,8.700,1.401
97,MHL,89.175,22.67,2658360.4,546061.3,0.097,1.094,6.910,0.980,6.930,34.000,35.800,134.000,4.500,1.138
98,MHL,89.1829,22.6694,2659177.446,545990.4028,0.118,0.714,6.000,1.220,7.040,43.200,64.500,149.200,5.700,1.180
99,MHL,89.1947,22.6647,2660382.119,545456.4256,0.132,1.228,6.700,0.900,7.000,28.600,66.500,100.500,5.000,0.900
100,MHL,89.1936,22.6763,2660279.3,546746,0.089,0.764,8.730,2.400,6.930,56.500,298.100,215.400,7.600,1.733
101,MHL,89.1752,22.6631,2658380.1,545290.6,0.107,0.747,7.570,1.420,6.990,46.300,93.200,170.000,6.300,1.351
102,MHL,89.1613,22.6911,2656967.6,548401.5,0.178,0.799,6.490,1.430,7.010,38.500,122.100,126.400,7.400,1.057
103,MHL,89.1691,22.69,2657772.1,548280.7,0.144,0.765,6.700,1.380,7.020,40.600,128.500,137.500,8.000,1.117
104,MHL,89.1745,22.7198,2658340.071,551579.6623,0.167,1.335,5.180,1.100,6.850,43.500,98.100,113.200,7.000,0.954
105,MHL,89.1559,22.735,2656441.186,553276.0256,0.112,1.067,4.870,1.650,6.940,43.200,197.900,147.100,7.100,3.250
106,MHL,89.1568,22.7206,2656530.5,551673.1,0.096,1.445,6.130,1.890,6.780,50.100,252.200,156.200,8.700,1.839
107,MHL,89.1537,22.7209,2656203.7,551711.1,0.079,1.074,6.660,1.080,6.860,32.400,62.100,126.500,4.900,1.868
108,MHL,89.1496,22.7373,2655794.781,553532.3621,0.083,0.804,9.470,1.760,6.870,56.900,155.100,179.600,8.200,1.447
