ID,x,y,xm,ym,DIVISION_NAME,DISTRICT_NAME,Land_type,pH,SOM,DEM,NDFI,NDVI
4176,88.56987844,24.53704828,355140.8856,2714438.228,RAJSHAHI,RAJSHAHI,Highland,5.6,1.2,22.86241722,-0.204228386,0.502625167
4177,88.59721781,24.80991121,358219.4054,2744628.134,RAJSHAHI,NAOGAON,Highland,4.6,1.4,22.38335419,-0.158079356,0.484471768
4178,88.56629436,24.78424422,355063.6821,2741818.035,RAJSHAHI,NAOGAON,Highland,4.9,1.2,21.57217026,-0.21712321,0.463806748
4179,88.65287075,24.9572474,364006.4515,2760888.481,RAJSHAHI,NAOGAON,Highland,4.8,1,17.87845421,-0.130475491,0.480640471
4180,88.86480821,24.93040886,385378.8193,2757720.724,RAJSHAHI,NAOGAON,Highland,5.9,1.8,17.48117065,-0.112013549,0.494778514
4181,88.74806767,25.10153722,373765.417,2776776.02,RAJSHAHI,NAOGAON,Highland,5.4,1.1,23.38506126,-0.149923876,0.474066257
4182,88.52457389,24.98541978,351086.954,2764143.28,RAJSHAHI,NAOGAON,Highland,4.9,1.4,37.17113495,-0.249738723,0.432914108
4183,88.44840111,24.88544063,343271.2828,2753156.006,RAJSHAHI,CHAPAI,Highland,4.3,1.2,40.36085892,-0.245007738,0.423221499
4184,88.4048442,24.56501376,338457.4603,2717718.759,RAJSHAHI,RAJSHAHI,Highland,5.1,0.7,41.3589859,-0.20702517,0.435244203
4185,88.63389085,25.01147038,362150.6718,2766912.755,RAJSHAHI,NAOGAON,Highland,5.6,1.1,18.86209679,-0.143728375,0.492009193
4186,88.53946025,24.90969135,352499.4327,2755740.004,RAJSHAHI,NAOGAON,Highland,4.9,2.2,27.71622849,-0.168693542,0.433817774
4187,88.39210557,24.67418418,337308.5773,2729824.557,RAJSHAHI,CHAPAI,Highland,4.7,1.4,38.78093338,-0.268348396,0.415857017
4188,88.48233073,25.06414806,346920.4874,2772909.813,RAJSHAHI,NAOGAON,Highland,5.1,1.9,34.0341835,-0.159626454,0.465420842
4189,88.80850699,24.95013031,379712.677,2759953.406,RAJSHAHI,NAOGAON,Highland,5.2,2.1,21.74407196,-0.131249681,0.50338465
4190,88.39864349,24.90543536,338270.4345,2755428.743,RAJSHAHI,CHAPAI,Highland,5.2,1.1,23.80557632,-0.178769678,0.420913488
4191,88.59628334,25.10418043,358461.9068,2777219.271,RAJSHAHI,NAOGAON,Highland,4.4,0.9,32.68732071,-0.234628394,0.413496912
4192,88.50798852,24.70712575,349075.4498,2733340.322,RAJSHAHI,NAOGAON,Highland,4.5,0.7,24.37022591,-0.175598055,0.457799375
4193,88.53089481,24.66685975,351345.1063,2728855.915,RAJSHAHI,RAJSHAHI,Highland,5.4,0.9,25.50734329,-0.195290968,0.469984025
4194,88.581865,25.06578814,356963.2736,2772982.453,RAJSHAHI,NAOGAON,Highland,4.7,1.7,27.43397141,-0.248459354,0.455975443
4195,88.38637263,24.5647263,336586.1347,2717708.708,RAJSHAHI,RAJSHAHI,Highland,6.1,1.4,41.0414238,-0.21794194,0.430266261
4196,88.42952806,24.60253702,341005.0279,2721845.732,RAJSHAHI,RAJSHAHI,Highland,4.7,1,33.17901993,-0.233965799,0.479198784
4197,88.32469445,24.75599619,330597.2815,2738967.295,RAJSHAHI,CHAPAI,Highland,5.7,1,28.63558578,-0.200147092,0.427996933
4198,88.77861407,25.08025561,376824.4613,2774390.954,RAJSHAHI,NAOGAON,Highland,6.1,0.8,21.97148895,-0.148940653,0.481568128
4199,88.60528542,24.82419263,359051.075,2746201.406,RAJSHAHI,NAOGAON,Highland,4.8,0.6,17.25880432,-0.107252903,0.465150923
4200,88.47910622,24.79585793,346262.6555,2743199.567,RAJSHAHI,NAOGAON,Highland,4.9,1.4,33.11015701,-0.226610333,0.462513477
4201,88.79979648,25.12594524,379005.8634,2779431.747,RAJSHAHI,NAOGAON,Highland,5.1,1.9,22.34973907,-0.129423872,0.495673627
4202,88.60947053,24.76123381,359403.1004,2739224.602,RAJSHAHI,NAOGAON,Highland,4.9,0.8,21.42816544,-0.193561941,0.468001842
4203,88.84988753,24.88122585,383826.0877,2752286.782,RAJSHAHI,NAOGAON,Highland,5.5,1.7,17.78931618,-0.117067739,0.509593844
4204,88.34161164,24.65559894,332173.6633,2727826.988,RAJSHAHI,CHAPAI,Highland,5.7,1.7,34.04212952,-0.250989676,0.456004918
4205,88.70630981,24.96123553,369405.974,2761277.678,RAJSHAHI,NAOGAON,Highland,5.5,1.4,23.27326584,-0.141709685,0.445569932
4206,88.71729381,25.10834154,370669.2623,2777558.709,RAJSHAHI,NAOGAON,Highland,6.2,1.8,25.36927795,-0.148145795,0.488025784
4207,88.52188126,24.82294474,350619.6241,2746151.95,RAJSHAHI,NAOGAON,Highland,4.4,1.3,26.11358452,-0.221152902,0.463185877
4208,88.68262521,25.08876759,367152.2119,2775424.58,RAJSHAHI,NAOGAON,Highland,5,1.6,24.06698608,-0.117926456,0.475201845
4209,88.80559571,25.09307763,379558.3421,2775786.611,RAJSHAHI,NAOGAON,Highland,5.1,1.5,20.01495171,-0.142460644,0.49555704
4210,88.43446426,24.66700884,341586.1961,2728980.312,RAJSHAHI,CHAPAI,Highland,4.5,1.2,42.99443817,-0.214294851,0.454700649
4211,88.48562624,24.71970176,346828.4431,2734757.926,RAJSHAHI,NAOGAON,Highland,4.7,0.7,25.33064651,-0.204280004,0.470909804
4212,88.6737057,24.88335031,366030.1614,2752683.914,RAJSHAHI,NAOGAON,Highland,5.2,1.1,20.09700775,-0.135900006,0.454006165
4213,88.61091139,25.10114915,359933.6007,2776868.297,RAJSHAHI,NAOGAON,Highland,4.4,0.9,32.96485519,-0.220694855,0.44350493
4214,88.57527113,24.61343792,355774.6988,2722892.333,RAJSHAHI,RAJSHAHI,Highland,5.3,2.6,20.73051643,-0.157564521,0.461746633
4215,89.05973162,24.89512612,405034.6389,2753663.336,RAJSHAHI,JOYPURHAT,Medium Highland 1,5.4,1.8,20.22919846,-0.133241937,0.50690186
4216,88.47807536,24.72589564,346072.2133,2735452.365,RAJSHAHI,CHAPAI,Highland,4.5,1.2,29.08166122,-0.145435482,0.473787099
4217,88.51278887,25.09045587,350025.156,2775789.362,RAJSHAHI,NAOGAON,Highland,4.7,1.6,29.9949398,-0.239952251,0.433221489
4218,88.56120803,24.60987047,354346.7627,2722512.075,RAJSHAHI,RAJSHAHI,Highland,6,1.8,24.1612587,-0.170634195,0.490634948
4219,88.4884991,25.08083048,347563.4127,2774750.496,RAJSHAHI,NAOGAON,Highland,5,1.9,32,-0.173886448,0.440776706
4220,88.54976528,25.06004705,353718.3531,2772380.959,RAJSHAHI,NAOGAON,Highland,4.8,1.2,39.26981735,-0.261878073,0.433932513
4221,88.50055584,24.58733854,348178.6661,2720082.304,RAJSHAHI,RAJSHAHI,Highland,6.6,1.1,34.64516449,-0.157273546,0.449645996
4222,89.01422373,24.89600562,400438.8439,2753793.255,RAJSHAHI,JOYPURHAT,Medium Highland 2,4.3,1.4,20.26170349,-0.188243866,0.513243556
4223,88.59348583,25.08841179,358161.6076,2775475.806,RAJSHAHI,NAOGAON,Highland,5,1.7,31.50201988,-0.221030325,0.426007956
4224,88.60853599,24.63879038,359170.9594,2725665.5,RAJSHAHI,RAJSHAHI,Highland,5.7,1.4,20.35091591,-0.109958164,0.446235597
4225,88.46415717,24.80646061,344764.5241,2744390.743,RAJSHAHI,NAOGAON,Highland,4.3,1.3,31.62319756,-0.226462573,0.456917197
4226,88.36576906,24.77988263,334783.0106,2741562.573,RAJSHAHI,CHAPAI,Highland,4.5,0.6,31.89435577,-0.204875484,0.453898132
4227,88.57513842,24.64705728,355799.8589,2726615.669,RAJSHAHI,RAJSHAHI,Highland,5.7,1.2,19.08740807,-0.050577272,0.471111655
