"DIVISION_NAME","DISTRICT_NAME","UPAZILA_NAME","POVERTY_PERCENT","DIVISION_NAME 2","DIVISION_PCODE","DISTRICT_NAME 2","DISTRICT_PCODE","UPAZILA_NMAE","UPAZILA_PCODE","ADM3_PCODE"
"Rajshahi","Joypurhat","Khetlal",26.1,"Rajshahi","BD50","Joypurhat","BD5038","Khetlal","BD503861","BD503861"
"Rajshahi","Joypurhat","Panchbibi",28.3,"Rajshahi","BD50","Joypurhat","BD5038","Panchbibi","BD503874","BD503874"
"Chittagong","Khagrachhari","Dighinala",22.5,"Chittagong","BD20","Khagrachhari","BD2046","Dighinala","BD204643","BD204643"
"Chittagong","Khagrachhari","Khagrachhari Sadar",19.5,"Chittagong","BD20","Khagrachhari","BD2046","Khagrachhari Sadar","BD204649","BD204649"
"Chittagong","Khagrachhari","Lakshmichhari",31,"Chittagong","BD20","Khagrachhari","BD2046","Lakshmichhari","BD204661","BD204661"
"Chittagong","Khagrachhari","Mahalchhari",21.4,"Chittagong","BD20","Khagrachhari","BD2046","Mahalchhari","BD204665","BD204665"
"Chittagong","Khagrachhari","Manikchhari",30.1,"Chittagong","BD20","Khagrachhari","BD2046","Manikchhari","BD204667","BD204667"
"Chittagong","Khagrachhari","Matiranga",28.3,"Chittagong","BD20","Khagrachhari","BD2046","Matiranga","BD204670","BD204670"
"Chittagong","Khagrachhari","Panchhari",23.4,"Chittagong","BD20","Khagrachhari","BD2046","Panchhari","BD204677","BD204677"
"Chittagong","Khagrachhari","Ramgarh",32.6,"Chittagong","BD20","Khagrachhari","BD2046","Ramgarh","BD204680","BD204680"
"Khulna","Khulna","Batiaghata",40.5,"Khulna","BD40","Khulna","BD4047","Batiaghata","BD404712","BD404712"
"Khulna","Khulna","Dacope",44.5,"Khulna","BD40","Khulna","BD4047","Dacope","BD404717","BD404717"
"Khulna","Khulna","Daulatpur",34.5,"Khulna","BD40","Khulna","BD4047","Daulatpur","BD305610","BD305610"
"Khulna","Khulna","Dighalia",39.3,"Khulna","BD40","Khulna","BD4047","Dighalia","BD404740","BD404740"
"Khulna","Khulna","Dumuria",37.2,"Khulna","BD40","Khulna","BD4047","Dumuria","BD404730","BD404730"
"Khulna","Khulna","Khalishpur",41.1,"Khulna","BD40","Khulna","BD4047","Khalishpur","BD404745","BD404745"
"Khulna","Khulna","Khan Jahan Ali",31.9,"Khulna","BD40","Khulna","BD4047","Khan Jahan Ali","BD404748","BD404748"
"Khulna","Khulna","Khulna Sadar",35.5,"Khulna","BD40","Khulna","BD4047","Khulna Sadar","BD404751","BD404751"
"Khulna","Khulna","Koyra",49.1,"Khulna","BD40","Khulna","BD4047","Koyra","BD404753","BD404753"
"Khulna","Khulna","Paikgachha",42.4,"Khulna","BD40","Khulna","BD4047","Paikgachha","BD404764","BD404764"
"Khulna","Khulna","Phultala",33.7,"Khulna","BD40","Khulna","BD4047","Phultala","BD404769","BD404769"
"Khulna","Khulna","Rupsa",36.9,"Khulna","BD40","Khulna","BD4047","Rupsa","BD404775","BD404775"
"Khulna","Khulna","Sonadanga",19.3,"Khulna","BD40","Khulna","BD4047","Sonadanga","BD404785","BD404785"
"Khulna","Khulna","Terokhada",49.6,"Khulna","BD40","Khulna","BD4047","Terokhada","BD404794","BD404794"
"Dhaka","Kishoreganj","Austagram",33.7,"Dhaka","BD30","Kishoreganj","BD3048","Austagram","BD304802","BD304802"
"Dhaka","Kishoreganj","Bajitpur",28.2,"Dhaka","BD30","Kishoreganj","BD3048","Bajitpur","BD304806","BD304806"
"Dhaka","Kishoreganj","Bhairab",33.9,"Dhaka","BD30","Kishoreganj","BD3048","Bhairab","BD304811","BD304811"
"Dhaka","Kishoreganj","Hossainpur",33,"Dhaka","BD30","Kishoreganj","BD3048","Hossainpur","BD304827","BD304827"
