UPAZILA_NAME,UPAZILA_PCODE,DISTRICT_PCODE
Gowainghat,BD609141,BD6091
Jaintiapur,BD609153,BD6091
Kanaighat,BD609159,BD6091
Sylhet Sadar,BD609162,BD6091
Zakiganj,BD609194,BD6091
Basail,BD309309,BD3093
Bhuapur,BD309319,BD3093
Delduar,BD309323,BD3093
Dhanbari,BD309325,BD3093
Ghatail,BD309328,BD3093
Gopalpur,BD309338,BD3093
Kalihati,BD309347,BD3093
Madhupur,BD309357,BD3093
Mirzapur,BD309366,BD3093
Nagarpur,BD309376,BD3093
Sakhipur,BD309385,BD3093
Tangail Sadar,BD309395,BD3093
Baliadangi,BD559408,BD5594
Haripur,BD559451,BD5594
Pirganj,BD558576,BD5594
Ranisankail,BD559486,BD5594
Thakurgaon Sadar,BD559494,BD5594
Akhaura,BD201202,
Ashuganj,BD201233,
Banchharampur,BD201204,
Bijoynagar,BD201207,
Brahmanbaria Sadar,BD201213,
Chakaria,BD202216,BD2022
Cox's Bazar Sadar,BD202224,BD2022
Kasba,BD201263,
Kutubdia,BD202245,BD2022
Maheshkhali,BD202249,BD2022
Nabinagar,BD201285,
Nasirnagar,BD201290,
Pekua,BD202256,BD2022
Ramu,BD202266,BD2022
Sarail,BD201294,
Teknaf,BD202290,BD2022
Ukhia,BD202294,BD2022
Bholahat,BD507018,BD5070
Nawabganj Sadar,BD507066,BD5070
Gomastapur,BD507037,BD5070
Nachole,BD507056,BD5070
Shibganj,BD501094,BD5070
